,precision,recall,f1-score,support
class_0,0.8090670714877174,0.8980545343137255,0.8512414694351677,13056.0
class_1,0.5832255282449331,0.466540186271128,0.5183978535837486,5798.0
class_2,0.6278940027894003,0.6047823750671681,0.6161215273025865,3722.0
class_3,0.7057444314185228,0.6068548387096774,0.6525745257452574,992.0
accuracy,0.7333248472505092,0.7333248472505092,0.7333248472505092,0.7333248472505092
macro avg,0.6814827584851434,0.6440579835904248,0.6595838440166901,23568.0
weighted avg,0.7205465568761492,0.7333248472505092,0.7238644617355586,23568.0
