,precision,recall,f1-score,support
class_0,0.4761425407690759,0.5676908305328853,0.5179021132158108,4166.0
class_1,0.5808096257775058,0.5899533920248576,0.5853458020758401,9655.0
class_2,0.6207587329410291,0.5929912689869633,0.6065573770491803,8361.0
class_3,0.540272614622057,0.31457431457431456,0.39762881896944824,1386.0
accuracy,0.5709012219959266,0.5709012219959266,0.5709012219959266,0.5709012219959266
macro avg,0.554495878527417,0.5163024515297552,0.5268585278275699,23568.0
weighted avg,0.574096587394429,0.5709012219959266,0.569909780010996,23568.0
