,precision,recall,f1-score,support
class_0,0.9568862275449102,0.9976365663322185,0.9768365898919332,22425.0
class_1,0.4166666666666667,0.04881450488145049,0.08739076154806492,717.0
class_2,0.30303030303030304,0.035842293906810034,0.0641025641025641,279.0
class_3,0.7746478873239436,0.3741496598639456,0.5045871559633027,147.0
accuracy,0.9534962661235573,0.9534962661235573,0.9534962661235573,0.9534962661235573
macro avg,0.6128077711414559,0.3641107562461061,0.4082292678764663,23568.0
weighted avg,0.9315742679343468,0.9534962661235573,0.936026757962822,23568.0
