,precision,recall,f1-score,support
class_0,0.851431811738021,0.6746040660451533,0.7527730776461741,8903.0
class_1,0.6427782888684452,0.7428237295343398,0.6891891891891891,9406.0
class_2,0.5472312703583062,0.6745294855708909,0.6042486231313926,3985.0
class_3,0.7349726775956285,0.42229199372056514,0.5363908275174477,1274.0
accuracy,0.6881788866259335,0.6881788866259335,0.6881788866259335,0.6881788866259335
macro avg,0.6941035121401002,0.6285623187177374,0.6456504293710509,23568.0
weighted avg,0.7104269267071824,0.6881788866259335,0.6905865962845057,23568.0
