,precision,recall,f1-score,support
class_0,0.8118984664198836,0.9443350965678435,0.8731232939035487,16258.0
class_1,0.5204616998950682,0.3698732289336316,0.43243243243243246,5364.0
class_2,0.5202952029520295,0.1811175337186898,0.2686993806574559,1557.0
class_3,0.6151315789473685,0.480719794344473,0.5396825396825397,389.0
accuracy,0.7555159538357095,0.7555159538357095,0.7555159538357095,0.7555159538357095
macro avg,0.6169467370535875,0.4940114133911595,0.5284844116689942,23568.0
weighted avg,0.7230561626144963,0.7555159538357095,0.7273891515390203,23568.0
