,precision,recall,f1-score,support
class_0,0.8533490902604353,0.9042066839139525,0.8780420655359714,84651.0
class_1,0.5920874509273047,0.543204893346167,0.5665937980730306,32207.0
class_2,0.5746960972488804,0.5525142242042135,0.5633869070952567,19509.0
class_3,0.6426056338028169,0.434437611585003,0.5184045449165582,5041.0
accuracy,0.7567181489024666,0.7567181489024666,0.7567181489024666,0.7567181489024666
macro avg,0.6656845680598593,0.608590853262334,0.6316068289052041,141408.0
weighted avg,0.7478879238294879,0.7567181489024666,0.7508756069364488,141408.0
