,precision,recall,f1-score,support
class_0,0.5155157342657343,0.5662506000960154,0.539693433996797,4166.0
class_1,0.6257591383064054,0.5656136716727085,0.5941682080295941,9655.0
class_2,0.6048655020898082,0.6750388709484512,0.6380284874519557,8361.0
class_3,0.49571734475374735,0.33405483405483405,0.39913793103448275,1386.0
accuracy,0.590928377460964,0.590928377460964,0.590928377460964,0.590928377460964
macro avg,0.5604644298539238,0.5352394941930022,0.5427570151282074,23568.0
weighted avg,0.5912121407035376,0.590928377460964,0.5886294233942626,23568.0
