,precision,recall,f1-score,support
class_0,0.8179934257538946,0.8767616421568627,0.8463585951940851,13056.0
class_1,0.5836616213974705,0.4855122456019317,0.5300819131908483,5798.0
class_2,0.6151794374393792,0.6816227834497582,0.6466989548814682,3722.0
class_3,0.7767145135566188,0.4909274193548387,0.6016059295861643,992.0
accuracy,0.7334521384928717,0.7334521384928717,0.7334521384928717,0.7334521384928717
macro avg,0.6983872495368407,0.6337060226408477,0.6561863482131415,23568.0
weighted avg,0.7265780257596282,0.7334521384928717,0.7267175553187718,23568.0
