,precision,recall,f1-score,support
class_0,0.8638012806660373,0.8971896374525995,0.8801789377310603,84651.0
class_1,0.6110293362544073,0.5542273418821996,0.5812438944969065,32207.0
class_2,0.5759334494099438,0.6103849505356502,0.5926589523454026,19509.0
class_3,0.60734149054505,0.43324737155326326,0.5057311566516152,5041.0
accuracy,0.762969563249604,0.762969563249604,0.762969563249604,0.762969563249604
macro avg,0.6645263892188595,0.6237623253559281,0.6399532353062461,141408.0
weighted avg,0.7573726957511783,0.762969563249604,0.7590781542057105,141408.0
