,precision,recall,f1-score,support
class_0,0.9594582975064488,0.9951839464882943,0.9769946371894495,22425.0
class_1,0.3069306930693069,0.043235704323570434,0.07579462102689487,717.0
class_2,0.275,0.07885304659498207,0.12256267409470752,279.0
class_3,0.6141732283464567,0.5306122448979592,0.5693430656934306,147.0
accuracy,0.9524779361846571,0.9524779361846571,0.9524779361846571,0.9524779361846571
macro avg,0.5388905547305531,0.4119712355762015,0.4361737495011206,23568.0
weighted avg,0.9293503943092216,0.9524779361846571,0.9369203113959202,23568.0
