,precision,recall,f1-score,support
class_0,0.818307831742816,0.9440890638454914,0.8767099814365272,16258.0
class_1,0.5621187800963082,0.3264354958985832,0.41302040334945156,5364.0
class_2,0.4672075726842461,0.44380218368657676,0.4552042160737813,1557.0
class_3,0.6543778801843319,0.36503856041131105,0.46864686468646866,389.0
accuracy,0.7609046164290564,0.7609046164290564,0.7609046164290564,0.7609046164290564
macro avg,0.6255030161769255,0.5198413259604906,0.5533953663865572,23568.0
weighted avg,0.7340991620405795,0.7609046164290564,0.7365940646873486,23568.0
