,precision,recall,f1-score,support
class_0,0.9023768283294842,0.9451695812125183,0.9232776232554705,19843.0
class_1,0.3469387755102041,0.04025256511444357,0.07213578500707214,1267.0
class_2,0.3644470868014269,0.38193146417445484,0.3729844843322178,1605.0
class_3,0.49109947643979057,0.5498241500586166,0.5188053097345132,853.0
accuracy,0.8438560760353021,0.8438560760353021,0.8438560760353021,0.8438560760353021
macro avg,0.5262155417702264,0.4792944401400083,0.47180080058231844,23568.0
weighted avg,0.8209979744073663,0.8438560760353021,0.8254062688568828,23568.0
