,precision,recall,f1-score,support
class_0,0.7581163714303726,0.921109068627451,0.8317023410214738,13056.0
class_1,0.5899179366940211,0.4339427388754743,0.500049686972076,5798.0
class_2,0.6680451127819549,0.47743148844707145,0.5568787214039486,3722.0
class_3,0.6743589743589744,0.530241935483871,0.5936794582392777,992.0
accuracy,0.7147403258655805,0.7147403258655805,0.7147403258655805,0.7147403258655805
macro avg,0.6726095988163308,0.590681307858467,0.6205775519091941,23568.0
weighted avg,0.6989875914241945,0.7147403258655805,0.6966915509622928,23568.0
