,precision,recall,f1-score,support
class_0,0.8197270151944372,0.7150398741997079,0.7638130661707361,8903.0
class_1,0.6419102959869257,0.7516478843291516,0.692458374142997,9406.0
class_2,0.5788931788931789,0.564366373902133,0.5715374841168996,3985.0
class_3,0.6755260243632336,0.478806907378336,0.5604042259990814,1274.0
accuracy,0.6914035980991174,0.6914035980991174,0.6914035980991174,0.6914035980991174
macro avg,0.6790141286094439,0.6274652599523322,0.6470532876074285,23568.0
weighted avg,0.7002438617301925,0.6914035980991174,0.6918288804071524,23568.0
