,precision,recall,f1-score,support
class_0,0.8684378592412824,0.8363882396358716,0.8521117934578268,16258.0
class_1,0.47992530345471524,0.4791200596569724,0.47952234350219236,5364.0
class_2,0.3254252461951656,0.46692357096981374,0.38353996307043,1557.0
class_3,0.4953271028037383,0.4087403598971722,0.447887323943662,389.0
accuracy,0.7236082824168364,0.7236082824168364,0.7236082824168364,0.7236082824168364
macro avg,0.5422788779237254,0.5477930575399576,0.5407653559935277,23568.0
weighted avg,0.7379816443734042,0.7236082824168364,0.7296839477298817,23568.0
