,precision,recall,f1-score,support
class_0,0.9017878773196376,0.9379630096255607,0.9195197865718097,19843.0
class_1,0.26004728132387706,0.08681925808997633,0.1301775147928994,1267.0
class_2,0.3719552337063858,0.35202492211838005,0.3617157490396927,1605.0
class_3,0.5015197568389058,0.5803048065650644,0.5380434782608695,853.0
accuracy,0.8393584521384929,0.8393584521384929,0.8393584521384929,0.8393584521384929
macro avg,0.5088275372972015,0.48927799909974534,0.4873641321663178,23568.0
weighted avg,0.8167193337480168,0.8393584521384929,0.825291535147329,23568.0
