,precision,recall,f1-score,support
class_0,0.8524971751412429,0.891259406268089,0.8714474649294547,84651.0
class_1,0.5768845165737202,0.5717080137858229,0.5742846003898635,32207.0
class_2,0.5639037738000228,0.5070480291147675,0.5339666945561523,19509.0
class_3,0.6017981438515081,0.4116246776433247,0.48886794675462364,5041.0
accuracy,0.7483735007920344,0.7483735007920344,0.7483735007920344,0.7483735007920344
macro avg,0.6487709023416235,0.5954100317030011,0.6171416766575235,141408.0
weighted avg,0.7409716647176345,0.7483735007920344,0.7435677121675267,141408.0
