,precision,recall,f1-score,support
class_0,0.955228339735382,0.9980379041248606,0.976163995202268,22425.0
class_1,0.18,0.012552301255230125,0.02346805736636245,717.0
class_2,0.43478260869565216,0.035842293906810034,0.06622516556291391,279.0
class_3,0.7538461538461538,0.3333333333333333,0.46226415094339623,147.0
accuracy,0.952520366598778,0.952520366598778,0.952520366598778,0.952520366598778
macro avg,0.580964275569297,0.3449414581550585,0.38203034226873517,23568.0
weighted avg,0.9242267163529962,0.952520366598778,0.9332032349339475,23568.0
