,precision,recall,f1-score,support
class_0,0.4788102643856921,0.5912145943350936,0.529108485499463,4166.0
class_1,0.567755064286375,0.6357327809425168,0.5998240985048373,9655.0
class_2,0.6320454230715967,0.5458677191723478,0.5858041329739443,8361.0
class_3,0.6020408163265306,0.17027417027417027,0.265466816647919,1386.0
accuracy,0.5686099796334012,0.5686099796334012,0.5686099796334012,0.5686099796334012
macro avg,0.5701628920175486,0.4857723161810321,0.4950508834065409,23568.0
weighted avg,0.5768567150732321,0.5686099796334012,0.562687244794812,23568.0
