,precision,recall,f1-score,support
class_0,0.8472499945065811,0.9109756529751568,0.8779579777877713,84651.0
class_1,0.6043153302445128,0.5548172757475083,0.5785094535094535,32207.0
class_2,0.5908867398787084,0.5543595263724435,0.572040622024754,19509.0
class_3,0.6763304209690231,0.33782979567546123,0.45058870220928693,5041.0
accuracy,0.7602257298031229,0.7602257298031229,0.7602257298031229,0.7602257298031229
macro avg,0.6796956213997063,0.5894955626926425,0.6197741888828164,141408.0
weighted avg,0.7504577830572541,0.7602257298031229,0.7523155188519005,141408.0
