,precision,recall,f1-score,support
class_0,0.75849243739152,0.9371936274509803,0.8384267507194737,13056.0
class_1,0.6262680192205019,0.40462228354605034,0.49161777032690696,5798.0
class_2,0.6406533575317604,0.569048898441698,0.6027319294251565,3722.0
class_3,0.8307291666666666,0.3215725806451613,0.4636627906976744,992.0
accuracy,0.7221232179226069,0.7221232179226069,0.7221232179226069,0.7221232179226069
macro avg,0.7140357452026123,0.5581093475209725,0.5991098102923029,23568.0
weighted avg,0.7103943638870799,0.7221232179226069,0.7001112194263994,23568.0
