,precision,recall,f1-score,support
class_0,0.8893210176632637,0.6164214309783219,0.7281411702268807,8903.0
class_1,0.6050489826676715,0.8536040825005315,0.7081495854648087,9406.0
class_2,0.6109763493026077,0.5056461731493099,0.5533434024440478,3985.0
class_3,0.6972255729794934,0.45368916797488223,0.5496909177365669,1274.0
accuracy,0.6835539714867617,0.6835539714867617,0.6835539714867617,0.6835539714867617
macro avg,0.700642980653259,0.6073402136507614,0.634831268968076,23568.0
weighted avg,0.7184199712820315,0.6835539714867617,0.680960434799212,23568.0
