,precision,recall,f1-score,support
class_0,0.9553575235577538,0.9991527313266444,0.9767644622694973,22425.0
class_1,0.3333333333333333,0.009762900976290097,0.018970189701897018,717.0
class_2,0.6111111111111112,0.03942652329749104,0.07407407407407407,279.0
class_3,0.7368421052631579,0.38095238095238093,0.5022421524663677,147.0
accuracy,0.9538357094365241,0.9538357094365241,0.9538357094365241,0.9538357094365241
macro avg,0.659161018316339,0.3573236341382016,0.39301271962795903,23568.0
weighted avg,0.9309957677892189,0.9538357094365241,0.9339800133863273,23568.0
