,precision,recall,f1-score,support
class_0,0.5225910557860766,0.5441670667306769,0.5331608654750706,4166.0
class_1,0.6114690041187031,0.5996892801657172,0.6055218573520184,9655.0
class_2,0.5999151463725074,0.6764741059681856,0.6358985890156839,8361.0
class_3,0.6696696696696697,0.1608946608946609,0.25945317044793487,1386.0
accuracy,0.5913102511880516,0.5913102511880516,0.5913102511880516,0.5913102511880516
macro avg,0.6009112189867392,0.4953062784398102,0.508508620572677,23568.0
weighted avg,0.5950823266358439,0.5913102511880516,0.5831556303166944,23568.0
