,precision,recall,f1-score,support
class_0,0.8011407430245105,0.9589740435477918,0.8729807665388168,16258.0
class_1,0.5616161616161616,0.31096196868008946,0.40028797696184304,5364.0
class_2,0.5233050847457628,0.31727681438664096,0.3950419832067173,1557.0
class_3,0.7409326424870466,0.3676092544987147,0.49140893470790376,389.0
accuracy,0.7593346911065852,0.7593346911065852,0.7593346911065852,0.7593346911065852
macro avg,0.6567486579683703,0.4887055202783092,0.5399299153538203,23568.0
weighted avg,0.7272769902358366,0.7593346911065852,0.7275247986365259,23568.0
