,precision,recall,f1-score,support
class_0,0.8911615338023575,0.9639167464597087,0.9261124291870431,19843.0
class_1,0.3118279569892473,0.022888713496448304,0.04264705882352941,1267.0
class_2,0.3980137509549274,0.32461059190031155,0.3575840768702814,1605.0
class_3,0.5462304409672831,0.4501758499413834,0.493573264781491,853.0
accuracy,0.8511965376782077,0.8511965376782077,0.8511965376782077,0.8511965376782077
macro avg,0.5368084206784538,0.440397975449463,0.4549792074155862,23568.0
weighted avg,0.8139490399343733,0.8511965376782077,0.8242457227649067,23568.0
