epoch,train_loss,train_acc,val_loss,val_acc,val_value6_acc
1,0.6557052863408258,0.7334635339606637,0.6017857943453006,0.7509257892498006,0.7378307580947876
2,0.6106909638383285,0.7507175830028999,0.5932744117491604,0.7583460736226194,0.7444877624511719
3,0.5957540828458386,0.7571339093724724,0.595684123977392,0.7543179181731702,0.7428765296936035
4,0.5835066937360354,0.7616712039612554,0.5963780794853757,0.7548974077122506,0.744911789894104
5,0.5566533416476117,0.7731106113511275,0.58942186634285,0.7570245550639594,0.7477102875709534
6,0.5425424132430638,0.7783802844686434,0.6041713254665261,0.7521483687888654,0.7354562282562256
7,0.5294016863073323,0.7845944053184983,0.5861937778330885,0.7601410759109979,0.7509328126907349
8,0.5151942468623604,0.7902117732930894,0.599405302626954,0.7568266824433729,0.7556818127632141
9,0.5001123443491933,0.7969683967568207,0.6227490262228242,0.7485300974169774,0.7467774748802185
10,0.4675941777178513,0.8111351127419069,0.6263692908524819,0.7510600608433603,0.7463534474372864
