,precision,recall,f1-score,support
class_0,0.8489742998099131,0.9127594476143224,0.87971217451697,84651.0
class_1,0.6107481044061638,0.5427081069332754,0.5747213362706737,32207.0
class_2,0.5942886110172355,0.5408273104720898,0.5662990097415667,19509.0
class_3,0.5899602385685885,0.47093830589168817,0.523772752344181,5041.0
accuracy,0.7614137813985065,0.7614137813985065,0.7614137813985065,0.7614137813985065
macro avg,0.6609928134504752,0.6168082927278439,0.6361263182183478,141408.0
weighted avg,0.7503454806430879,0.7614137813985065,0.7543196367102346,141408.0
