,precision,recall,f1-score,support
class_0,0.8760953112990008,0.6401213074244637,0.7397455867082036,8903.0
class_1,0.6224864347270986,0.8293642355943015,0.7111860698331662,9406.0
class_2,0.6018696728072588,0.5493099121706398,0.5743899239044871,3985.0
class_3,0.674496644295302,0.47331240188383045,0.5562730627306273,1274.0
accuracy,0.6912763068567549,0.6912763068567549,0.6912763068567549,0.6912763068567549
macro avg,0.693737015782165,0.623026964268309,0.6453986607941211,23568.0
weighted avg,0.7176147035177883,0.6912763068567549,0.6904704200607645,23568.0
