,precision,recall,f1-score,support
class_0,0.5291017415215399,0.5542486797887662,0.5413833528722157,4166.0
class_1,0.6073652566029633,0.5859140341791818,0.5964468343086088,9655.0
class_2,0.611029494858176,0.6466929793086952,0.6283556072051133,8361.0
class_3,0.5043227665706052,0.3787878787878788,0.4326328800988875,1386.0
accuracy,0.5896978954514596,0.5896978954514596,0.5896978954514596,0.5896978954514596
macro avg,0.562954814888321,0.5414108930161305,0.5497046686212064,23568.0
weighted avg,0.5887711459884765,0.5896978954514596,0.588399848819343,23568.0
