,precision,recall,f1-score,support
class_0,0.8072903125162498,0.9549145036289827,0.8749189889825016,16258.0
class_1,0.5504557291666666,0.31524981357196125,0.4009009009009009,5364.0
class_2,0.5035175879396985,0.3217726396917148,0.3926332288401254,1557.0
class_3,0.662962962962963,0.4601542416452442,0.543247344461305,389.0
accuracy,0.7593346911065852,0.7593346911065852,0.7593346911065852,0.7593346911065852
macro avg,0.6310566481463944,0.5130227996344758,0.5529251157962082,23568.0
weighted avg,0.7263849248622664,0.7593346911065852,0.729697832213572,23568.0
