,precision,recall,f1-score,support
class_0,0.9554020636138825,0.999241917502787,0.9768303581159136,22425.0
class_1,0.2,0.001394700139470014,0.002770083102493075,717.0
class_2,0.39285714285714285,0.03942652329749104,0.07166123778501629,279.0
class_3,0.7160493827160493,0.3945578231292517,0.5087719298245614,147.0
accuracy,0.9537508486082824,0.9537508486082824,0.9537508486082824,0.9537508486082824
macro avg,0.5660771472967686,0.35865524101724994,0.39000840220699606,23568.0
weighted avg,0.9242684011650423,0.9537508486082824,0.9335620285709471,23568.0
