,precision,recall,f1-score,support
class_0,0.8928988281432373,0.9638159552487023,0.9270030536571179,19843.0
class_1,0.37894736842105264,0.028413575374901343,0.05286343612334802,1267.0
class_2,0.39803439803439805,0.30280373831775703,0.34394904458598724,1605.0
class_3,0.5426170468187275,0.52989449003517,0.5361803084223014,853.0
accuracy,0.8528088934147997,0.8528088934147997,0.8528088934147997,0.8528088934147997
macro avg,0.5531244103543539,0.4562319397441327,0.4649989606971886,23568.0
weighted avg,0.8188906700788068,0.8528088934147997,0.8261583327788188,23568.0
