,precision,recall,f1-score,support
class_0,0.7606933532859459,0.9344362745098039,0.8386608922801952,13056.0
class_1,0.6367675645653985,0.39548120041393586,0.48792424726034683,5798.0
class_2,0.6471560846560847,0.5257925846319184,0.5801956715090424,3722.0
class_3,0.6154696132596685,0.561491935483871,0.5872430152872957,992.0
accuracy,0.7216140529531568,0.7216140529531568,0.7216140529531568,0.7216140529531568
macro avg,0.6650216539417744,0.6043004987598823,0.62350595658422,23568.0
weighted avg,0.7061630839823078,0.7216140529531568,0.7009748284006863,23568.0
