epoch,train_loss,train_acc,val_loss,val_acc,val_value6_acc
1,0.6452900345932097,0.7273816769292368,0.6132351366622223,0.7569586078649626,0.7528004050254822
2,0.5898187006013633,0.7480325643409639,0.6029042982864931,0.7594407871314967,0.7539036273956299
3,0.5713928648071176,0.7548151083105414,0.5917513889778413,0.7625877095053816,0.7544552087783813
4,0.556959555487661,0.7600616568644372,0.5913783571223216,0.7620926868810349,0.7556432485580444
5,0.5423979162605557,0.7660256611383879,0.5926035571304699,0.7648648072163102,0.7534368634223938
6,0.5309029777303955,0.769386114665037,0.5957728026779995,0.760430829689281,0.7539884448051453
7,0.5034546382963304,0.7799260553100406,0.5912353000265356,0.7629695828885183,0.7609046101570129
8,0.49046840961162863,0.7839324656322862,0.6024059195119511,0.7602752519560281,0.7584860920906067
9,0.4787977837810855,0.7886119528635014,0.6056427817642487,0.7609824257809858,0.7544976472854614
10,0.4603512243900073,0.7955572187830006,0.6127489622219517,0.7579698661356173,0.7565767168998718
