epoch,train_loss,train_acc,val_loss,val_acc,val_value6_acc
1,0.6752948263287368,0.7274170957369158,0.6100208629011218,0.746152995297153,0.7269178628921509
2,0.6205773976114844,0.7491196662129372,0.5948052197512687,0.7548936604441872,0.7403683066368103
3,0.6064136808367391,0.753728472509913,0.5929084202200073,0.7555725471308178,0.7482179403305054
4,0.5960584950671434,0.7576936734331539,0.5860183180916172,0.760225749529711,0.7593346834182739
5,0.5874119426693769,0.7615232487029255,0.5768872706544537,0.7619441812206755,0.7502121329307556
6,0.5806739989304575,0.7627241522163698,0.5765080981801257,0.7631675914203077,0.7490240931510925
7,0.5734608003202398,0.7662528851275374,0.5702724877722152,0.7651830361517449,0.7523760795593262
8,0.5667641567479804,0.7686596239963701,0.5745298370961744,0.7640091283581973,0.7589952349662781
9,0.562303493689551,0.7702575407863329,0.5833669893408178,0.7593629978501061,0.7563645839691162
10,0.5473513236488613,0.7753496675938529,0.582131071422105,0.7610531428478562,0.7578920722007751
